log_path,dataset,seed,n_hid,n_layers,s_layers,lr,difflr,reg,steps,noise_schedule,noise_scale,noise_min,noise_max,reweight,sampling_steps,sampling_noise,eval_only,checkpoint,save_name,model_dir,topk,best_recall,best_ndcg,avg_train_time_s,n_train_epochs_timed,avg_test_time_s,n_test_calls_timed
History\epinions\ablation\no_social\ablation_no_social.console.log,epinions,2023,64,2,0,0.001,0.001,0.0001,200,linear-var,0.1,0.0001,0.01,True,0,False,,./Model/epinions/_tem_.pth,ablation_no_social,./Model/epinions/,20,0.045212,0.032784,7.4544,150,79.3091,30
History\epinions\efficiency\n_hid_128\eff_n_hid_128.console.log,epinions,2023,128,2,2,0.001,0.001,0.0001,200,linear-var,0.1,0.0001,0.01,True,0,False,False,./Model/epinions/_tem_.pth,eff_n_hid_128,Model/epinions/efficiency/n_hid_128/,20,0.027638,0.020606,7.7101,5,61.4893,1
History\epinions\efficiency\n_hid_256\eff_n_hid_256.console.log,epinions,2023,256,2,2,0.001,0.001,0.0001,200,linear-var,0.1,0.0001,0.01,True,0,False,False,./Model/epinions/_tem_.pth,eff_n_hid_256,Model/epinions/efficiency/n_hid_256/,20,0.031833,0.023123,15.3987,5,116.5879,1
History\epinions\efficiency\n_hid_32\eff_n_hid_32.console.log,epinions,2023,32,2,2,0.001,0.001,0.0001,200,linear-var,0.1,0.0001,0.01,True,0,False,False,./Model/epinions/_tem_.pth,eff_n_hid_32,Model/epinions/efficiency/n_hid_32/,20,0.013321,0.009301,3.8439,5,56.6304,1
History\epinions\efficiency\n_hid_64\eff_n_hid_64.console.log,epinions,2023,64,2,2,0.001,0.001,0.0001,200,linear-var,0.1,0.0001,0.01,True,0,False,False,./Model/epinions/_tem_.pth,eff_n_hid_64,Model/epinions/efficiency/n_hid_64/,20,0.019407,0.013805,4.9488,5,61.0938,1
History\epinions\efficiency\steps_100\eff_steps_100.console.log,epinions,2023,64,2,2,0.001,0.001,0.0001,100,linear-var,0.1,0.0001,0.01,True,0,False,False,./Model/epinions/_tem_.pth,eff_steps_100,Model/epinions/efficiency/steps_100/,20,0.017541,0.012295,4.9608,5,57.5379,1
History\epinions\efficiency\steps_10\eff_steps_10.console.log,epinions,2023,64,2,2,0.001,0.001,0.0001,10,linear-var,0.1,0.0001,0.01,True,0,False,False,./Model/epinions/_tem_.pth,eff_steps_10,Model/epinions/efficiency/steps_10/,20,0.014715,0.010089,4.8393,5,61.9758,1
History\epinions\efficiency\steps_200\eff_steps_200.console.log,epinions,2023,64,2,2,0.001,0.001,0.0001,200,linear-var,0.1,0.0001,0.01,True,0,False,False,./Model/epinions/_tem_.pth,eff_steps_200,Model/epinions/efficiency/steps_200/,20,0.019300,0.013761,4.9170,5,63.1312,1
History\epinions\efficiency\steps_50\eff_steps_50.console.log,epinions,2023,64,2,2,0.001,0.001,0.0001,50,linear-var,0.1,0.0001,0.01,True,0,False,False,./Model/epinions/_tem_.pth,eff_steps_50,Model/epinions/efficiency/steps_50/,20,0.016753,0.011791,5.4772,5,59.0956,1
History\epinions\sampling_sweep\steps0_noiseFalse\sampling_sweep_steps0_noiseFalse.console.log,,,,,,,,,,,,,,,,,,,,,,,,,0,67.2135,1
History\epinions\sampling_sweep\steps0_noiseTrue\sampling_sweep_steps0_noiseTrue.console.log,,,,,,,,,,,,,,,,,,,,,,,,,0,67.5597,1
History\epinions\sampling_sweep\steps100_noiseFalse\sampling_sweep_steps100_noiseFalse.console.log,,,,,,,,,,,,,,,,,,,,,,,,,0,59.8440,1
History\epinions\sampling_sweep\steps100_noiseTrue\sampling_sweep_steps100_noiseTrue.console.log,,,,,,,,,,,,,,,,,,,,,,,,,0,60.4533,1
History\epinions\sampling_sweep\steps10_noiseFalse\sampling_sweep_steps10_noiseFalse.console.log,,,,,,,,,,,,,,,,,,,,,,,,,0,67.7048,1
History\epinions\sampling_sweep\steps10_noiseTrue\sampling_sweep_steps10_noiseTrue.console.log,,,,,,,,,,,,,,,,,,,,,,,,,0,79.9469,1
History\epinions\sampling_sweep\steps200_noiseFalse\sampling_sweep_steps200_noiseFalse.console.log,,,,,,,,,,,,,,,,,,,,,,,,,0,63.9685,1
History\epinions\sampling_sweep\steps200_noiseTrue\sampling_sweep_steps200_noiseTrue.console.log,,,,,,,,,,,,,,,,,,,,,,,,,0,75.9996,1
History\epinions\sampling_sweep\steps20_noiseFalse\sampling_sweep_steps20_noiseFalse.console.log,,,,,,,,,,,,,,,,,,,,,,,,,0,73.3691,1
History\epinions\sampling_sweep\steps20_noiseTrue\sampling_sweep_steps20_noiseTrue.console.log,,,,,,,,,,,,,,,,,,,,,,,,,0,66.2765,1
History\epinions\sampling_sweep\steps50_noiseFalse\sampling_sweep_steps50_noiseFalse.console.log,,,,,,,,,,,,,,,,,,,,,,,,,0,59.3150,1
History\epinions\sampling_sweep\steps50_noiseTrue\sampling_sweep_steps50_noiseTrue.console.log,,,,,,,,,,,,,,,,,,,,,,,,,0,61.0404,1
History\epinions\sampling_sweep\steps5_noiseFalse\sampling_sweep_steps5_noiseFalse.console.log,,,,,,,,,,,,,,,,,,,,,,,,,0,62.5219,1
History\epinions\sampling_sweep\steps5_noiseTrue\sampling_sweep_steps5_noiseTrue.console.log,,,,,,,,,,,,,,,,,,,,,,,,,0,61.8136,1
History\epinions\seeds\2023\seed_2023.console.log,epinions,2023,64,2,2,0.001,0.001,0.0001,200,linear-var,0.1,0.0001,0.01,True,0,False,,./Model/epinions/_tem_.pth,seed_2023,Model/epinions/seeds/2023/,20,0.045173,0.033742,5.7941,150,62.0519,30
History\epinions\seeds\2024\seed_2024.console.log,epinions,2024,64,2,2,0.001,0.001,0.0001,200,linear-var,0.1,0.0001,0.01,True,0,False,,./Model/epinions/_tem_.pth,seed_2024,Model/epinions/seeds/2024/,20,0.044949,0.033446,5.3418,150,62.3491,30
History\epinions\seeds\2025\seed_2025.console.log,epinions,2025,64,2,2,0.001,0.001,0.0001,200,linear-var,0.1,0.0001,0.01,True,0,False,,./Model/epinions/_tem_.pth,seed_2025,Model/epinions/seeds/2025/,20,0.045466,0.033498,5.2823,150,61.8524,30
History\epinions\seeds\2026\seed_2026.console.log,epinions,2026,64,2,2,0.001,0.001,0.0001,200,linear-var,0.1,0.0001,0.01,True,0,False,,./Model/epinions/_tem_.pth,seed_2026,Model/epinions/seeds/2026/,20,0.044440,0.032622,5.0689,150,60.4752,30
History\epinions\seeds\2027\seed_2027.console.log,epinions,2027,64,2,2,0.001,0.001,0.0001,200,linear-var,0.1,0.0001,0.01,True,0,False,,./Model/epinions/_tem_.pth,seed_2027,Model/epinions/seeds/2027/,20,0.045220,0.033032,5.2185,150,61.6918,30
History\epinions\sensitivity\lr\0.0001\sens_lr_0.0001.console.log,epinions,2023,64,2,2,0.0001,0.001,0.0001,200,linear-var,0.1,0.0001,0.01,True,0,False,False,./Model/epinions/_tem_.pth,sens_lr_0.0001,Model/epinions/sensitivity/lr/0.0001/,20,0.036657,0.027212,5.0046,150,57.1746,30
History\epinions\sensitivity\lr\0.001\sens_lr_0.001.console.log,epinions,2023,64,2,2,0.001,0.001,0.0001,200,linear-var,0.1,0.0001,0.01,True,0,False,False,./Model/epinions/_tem_.pth,sens_lr_0.001,Model/epinions/sensitivity/lr/0.001/,20,0.045239,0.033785,10.4401,150,105.9115,30
