log_path,dataset,seed,n_hid,n_layers,s_layers,lr,difflr,reg,steps,noise_schedule,noise_scale,noise_min,noise_max,reweight,sampling_steps,sampling_noise,eval_only,checkpoint,save_name,model_dir,topk,best_recall,best_ndcg,avg_train_time_s,n_train_epochs_timed,avg_test_time_s,n_test_calls_timed
History\yelp\sampling_sweep\steps5_noiseTrue\sampling_sweep_steps5_noiseTrue.console.log,,,,,,,,,,,,,,,,,,,,,,,,,0,126.6240,1
History\yelp\seeds\2023\seed_2023.console.log,yelp,2023,64,2,2,0.001,0.0001,0.005,50,linear-var,0.1,0.0001,0.01,True,0,False,,./Model/epinions/_tem_.pth,seed_2023,Model/yelp/seeds/2023/,20,0.060348,0.031374,9.1082,150,122.3744,30
History\yelp\seeds\2024\seed_2024.console.log,yelp,2024,64,2,2,0.001,0.0001,0.005,50,linear-var,0.1,0.0001,0.01,True,0,False,,./Model/epinions/_tem_.pth,seed_2024,Model/yelp/seeds/2024/,20,0.060974,0.031686,8.1420,150,118.5865,30
History\yelp\seeds\2025\seed_2025.console.log,yelp,2025,64,2,2,0.001,0.0001,0.005,50,linear-var,0.1,0.0001,0.01,True,0,False,,./Model/epinions/_tem_.pth,seed_2025,Model/yelp/seeds/2025/,20,0.060184,0.031439,7.6201,150,119.8968,30
History\yelp\seeds\2026\seed_2026.console.log,yelp,2026,64,2,2,0.001,0.0001,0.005,50,linear-var,0.1,0.0001,0.01,True,0,False,,./Model/epinions/_tem_.pth,seed_2026,Model/yelp/seeds/2026/,20,0.060824,0.031542,7.6201,150,120.1837,30
History\yelp\seeds\2027\seed_2027.console.log,yelp,2027,64,2,2,0.001,0.0001,0.005,50,linear-var,0.1,0.0001,0.01,True,0,False,,./Model/epinions/_tem_.pth,seed_2027,Model/yelp/seeds/2027/,20,0.060078,0.031016,8.7087,150,125.1447,30
History\yelp\sensitivity\lr\0.0001\sens_lr_0.0001.console.log,yelp,2023,64,2,2,0.0001,0.0001,0.005,50,linear-var,0.1,0.0001,0.01,True,0,False,,./Model/epinions/_tem_.pth,sens_lr_0.0001,Model/yelp/sensitivity/lr/0.0001/,20,0.055998,0.029471,7.4518,150,119.7520,30
History\yelp\sensitivity\lr\0.001\sens_lr_0.001.console.log,yelp,2023,64,2,2,0.001,0.0001,0.005,50,linear-var,0.1,0.0001,0.01,True,0,False,,./Model/epinions/_tem_.pth,sens_lr_0.001,Model/yelp/sensitivity/lr/0.001/,20,0.060548,0.031409,7.7598,150,121.8003,30
History\yelp\sensitivity\lr\0.005\sens_lr_0.005.console.log,yelp,2023,64,2,2,0.005,0.0001,0.005,50,linear-var,0.1,0.0001,0.01,True,0,False,,./Model/epinions/_tem_.pth,sens_lr_0.005,Model/yelp/sensitivity/lr/0.005/,20,0.060650,0.031351,7.4251,150,121.7716,30
History\yelp\sensitivity\n_hid\128\sens_n_hid_128.console.log,yelp,2023,128,2,2,0.001,0.0001,0.005,50,linear-var,0.1,0.0001,0.01,True,0,False,,./Model/epinions/_tem_.pth,sens_n_hid_128,Model/yelp/sensitivity/n_hid/128/,20,0.062713,0.032732,14.1377,150,130.5943,30
History\yelp\sensitivity\n_hid\256\sens_n_hid_256.console.log,yelp,2023,256,2,2,0.001,0.0001,0.005,50,linear-var,0.1,0.0001,0.01,True,0,False,,./Model/epinions/_tem_.pth,sens_n_hid_256,Model/yelp/sensitivity/n_hid/256/,20,0.061909,0.031940,32.0077,150,142.7084,30
History\yelp\sensitivity\n_hid\32\sens_n_hid_32.console.log,yelp,2023,32,2,2,0.001,0.0001,0.005,50,linear-var,0.1,0.0001,0.01,True,0,False,,./Model/epinions/_tem_.pth,sens_n_hid_32,Model/yelp/sensitivity/n_hid/32/,20,0.056088,0.029241,5.4833,150,112.7508,30
History\yelp\sensitivity\n_hid\64\sens_n_hid_64.console.log,yelp,2023,64,2,2,0.001,0.0001,0.005,50,linear-var,0.1,0.0001,0.01,True,0,False,,./Model/epinions/_tem_.pth,sens_n_hid_64,Model/yelp/sensitivity/n_hid/64/,20,0.060552,0.031385,8.3385,150,122.0420,30
History\yelp\sensitivity\noise_scale\0.01\sens_noise_scale_0.01.console.log,yelp,2023,64,2,2,0.001,0.0001,0.005,50,linear-var,0.01,0.0001,0.01,True,0,False,False,./Model/epinions/_tem_.pth,sens_noise_scale_0.01,Model/yelp/sensitivity/noise_scale/0.01/,20,0.058622,0.030228,8.8622,150,119.0643,30
History\yelp\sensitivity\noise_scale\0.05\sens_noise_scale_0.05.console.log,yelp,2023,64,2,2,0.001,0.0001,0.005,50,linear-var,0.05,0.0001,0.01,True,0,False,False,./Model/epinions/_tem_.pth,sens_noise_scale_0.05,Model/yelp/sensitivity/noise_scale/0.05/,20,0.060112,0.031347,10.0437,150,119.3659,30
History\yelp\sensitivity\noise_scale\0.1\sens_noise_scale_0.1.console.log,yelp,2023,64,2,2,0.001,0.0001,0.005,50,linear-var,0.1,0.0001,0.01,True,0,False,False,./Model/epinions/_tem_.pth,sens_noise_scale_0.1,Model/yelp/sensitivity/noise_scale/0.1/,20,0.060267,0.031361,11.9613,150,119.3328,30
History\yelp\sensitivity\noise_scale\0.2\sens_noise_scale_0.2.console.log,yelp,2023,64,2,2,0.001,0.0001,0.005,50,linear-var,0.2,0.0001,0.01,True,0,False,False,./Model/epinions/_tem_.pth,sens_noise_scale_0.2,Model/yelp/sensitivity/noise_scale/0.2/,20,0.060482,0.031335,12.9071,150,119.4884,30
History\yelp\sensitivity\s_layers\1\sens_s_layers_1.console.log,yelp,2023,64,2,1,0.001,0.0001,0.005,50,linear-var,0.1,0.0001,0.01,True,0,False,,./Model/epinions/_tem_.pth,sens_s_layers_1,Model/yelp/sensitivity/s_layers/1/,20,0.058411,0.030091,7.0059,150,119.2614,30
History\yelp\sensitivity\s_layers\2\sens_s_layers_2.console.log,yelp,2023,64,2,2,0.001,0.0001,0.005,50,linear-var,0.1,0.0001,0.01,True,0,False,,./Model/epinions/_tem_.pth,sens_s_layers_2,Model/yelp/sensitivity/s_layers/2/,20,0.060453,0.031407,7.4052,150,119.4519,30
History\yelp\sensitivity\s_layers\3\sens_s_layers_3.console.log,yelp,2023,64,2,3,0.001,0.0001,0.005,50,linear-var,0.1,0.0001,0.01,True,0,False,,./Model/epinions/_tem_.pth,sens_s_layers_3,Model/yelp/sensitivity/s_layers/3/,20,0.059754,0.031023,8.3028,150,121.0408,30
History\yelp\sensitivity\steps\100\sens_steps_100.console.log,yelp,2023,64,2,2,0.001,0.0001,0.005,100,linear-var,0.1,0.0001,0.01,True,0,False,,./Model/epinions/_tem_.pth,sens_steps_100,Model/yelp/sensitivity/steps/100/,20,0.059677,0.030948,7.6688,150,120.6486,30
History\yelp\sensitivity\steps\10\sens_steps_10.console.log,yelp,2023,64,2,2,0.001,0.0001,0.005,10,linear-var,0.1,0.0001,0.01,True,0,False,,./Model/epinions/_tem_.pth,sens_steps_10,Model/yelp/sensitivity/steps/10/,20,0.060193,0.031761,7.8935,150,118.5120,30
History\yelp\sensitivity\steps\200\sens_steps_200.console.log,yelp,2023,64,2,2,0.001,0.0001,0.005,200,linear-var,0.1,0.0001,0.01,True,0,False,,./Model/epinions/_tem_.pth,sens_steps_200,Model/yelp/sensitivity/steps/200/,20,0.060371,0.030787,7.4899,150,126.2734,30
History\yelp\sensitivity\steps\50\sens_steps_50.console.log,yelp,2023,64,2,2,0.001,0.0001,0.005,50,linear-var,0.1,0.0001,0.01,True,0,False,,./Model/epinions/_tem_.pth,sens_steps_50,Model/yelp/sensitivity/steps/50/,20,0.060675,0.031470,7.6569,150,119.7353,30
